ID,tobacco_type,response
215,hookah,.S
215,smokeless tobacco,.S
216,cigar,.S
216,cigarette,.S
216,e-cigarette,.S
216,heated tobacco,.S
216,hookah,.S
216,smokeless tobacco,.S
218,cigar,.S
218,cigarette,.S
218,e-cigarette,0
218,heated tobacco,.S
218,hookah,.S
218,smokeless tobacco,.S
219,cigar,.S
219,cigarette,.S
219,e-cigarette,.S
219,heated tobacco,.S
219,hookah,.S
219,smokeless tobacco,.S
220,cigar,.S
220,cigarette,.S
220,e-cigarette,.S
220,heated tobacco,.S
220,hookah,.S
220,smokeless tobacco,.S
221,cigar,.S
221,cigarette,.S
221,e-cigarette,.S
221,heated tobacco,.S
221,hookah,.S
221,smokeless tobacco,.S
223,cigar,.S
223,cigarette,.S
223,e-cigarette,.S
223,heated tobacco,.S
223,hookah,.S
223,smokeless tobacco,.S
224,cigar,.S
224,cigarette,.S
224,e-cigarette,.S
224,heated tobacco,.S
224,hookah,.S
224,smokeless tobacco,.S
226,cigar,.S
226,cigarette,.S
226,e-cigarette,.S
226,heated tobacco,.S
226,hookah,.S
226,smokeless tobacco,.S
227,cigar,.S
227,cigarette,.S
227,e-cigarette,.S
227,heated tobacco,.S
227,hookah,.S
227,smokeless tobacco,.S
228,cigar,.S
228,cigarette,.S
228,e-cigarette,.S
228,heated tobacco,.S
228,hookah,.S
228,smokeless tobacco,.S
229,cigar,.S
229,cigarette,.S
229,e-cigarette,.S
229,heated tobacco,.S
229,hookah,.S
229,smokeless tobacco,.S
232,cigar,.S
232,cigarette,.S
232,e-cigarette,.S
232,heated tobacco,.S
232,hookah,.S
232,smokeless tobacco,.S
234,cigar,.S
234,cigarette,.S
234,e-cigarette,.S
234,heated tobacco,.S
234,hookah,.S
234,smokeless tobacco,.S
235,cigar,.S
235,cigarette,.S
235,e-cigarette,2
235,heated tobacco,.S
235,hookah,.S
235,smokeless tobacco,.S
236,cigar,1
236,cigarette,.S
236,e-cigarette,30
236,heated tobacco,.S
236,hookah,.S
236,smokeless tobacco,2
239,cigar,.S
239,cigarette,0
239,e-cigarette,1
239,heated tobacco,.S
239,hookah,.S
239,smokeless tobacco,0
240,cigar,.S
240,cigarette,0
240,e-cigarette,.S
240,heated tobacco,.S
240,hookah,.S
240,smokeless tobacco,.S
242,cigar,.S
242,cigarette,.S
242,e-cigarette,4
242,heated tobacco,0
242,hookah,.S
242,smokeless tobacco,.S
243,cigar,.S
243,cigarette,0
243,e-cigarette,0
243,heated tobacco,.S
243,hookah,.S
243,smokeless tobacco,.S
244,cigar,.S
244,cigarette,.S
244,e-cigarette,3
244,heated tobacco,.S
244,hookah,.S
244,smokeless tobacco,.S
247,cigar,.S
247,cigarette,.S
247,e-cigarette,25
247,heated tobacco,0
247,hookah,.S
247,smokeless tobacco,.S
248,cigar,.S
248,cigarette,.S
248,e-cigarette,15
248,heated tobacco,.S
248,hookah,.S
248,smokeless tobacco,0
250,cigar,.S
250,cigarette,.S
250,e-cigarette,1
250,heated tobacco,.S
250,hookah,.S
250,smokeless tobacco,.S
251,cigar,.S
251,cigarette,.S
251,e-cigarette,.S
251,heated tobacco,.S
251,hookah,.S
251,smokeless tobacco,.S
252,cigar,.S
252,cigarette,.S
252,e-cigarette,.S
252,heated tobacco,.S
252,hookah,.S
252,smokeless tobacco,.S
254,cigar,.S
254,cigarette,.S
254,e-cigarette,0
254,heated tobacco,.S
254,hookah,.S
254,smokeless tobacco,.S
255,cigar,.S
