ID,tobacco_type,response
397,hookah,2
397,smokeless tobacco,2
398,cigar,2
398,cigarette,1
398,e-cigarette,1
398,heated tobacco,2
398,hookah,2
398,smokeless tobacco,2
400,cigar,2
400,cigarette,2
400,e-cigarette,2
400,heated tobacco,2
400,hookah,2
400,smokeless tobacco,2
401,cigar,2
401,cigarette,2
401,e-cigarette,2
401,heated tobacco,2
401,hookah,2
401,smokeless tobacco,2
402,cigar,2
402,cigarette,2
402,e-cigarette,1
402,heated tobacco,2
402,hookah,2
402,smokeless tobacco,2
404,cigar,2
404,cigarette,2
404,e-cigarette,2
404,heated tobacco,2
404,hookah,2
404,smokeless tobacco,2
405,cigar,2
405,cigarette,2
405,e-cigarette,2
405,heated tobacco,2
405,hookah,2
405,smokeless tobacco,2
406,cigar,2
406,cigarette,2
406,e-cigarette,2
406,heated tobacco,3
406,hookah,2
406,smokeless tobacco,2
408,cigar,2
408,cigarette,2
